	type	p	R0	infectious period
31	real-subtrees	0.561534464496612	2.66412187436011	6.919533124449028
31	FFNN (large)		2.4508313999999998	6.395920706108449
31	CNN (huge, subtrees)		1.611150505193266	4.057827162335675
32	real-subtrees	0.930128429980846	2.1264570444685598	7.2529691566459915
32	CNN (large)		1.8741714	7.13100213006838
32	real	0.9301284299808459	2.1264570444685598	7.252969156645991
32	FFNN (large)		1.9578627	7.246411226443731
32	CNN (huge, subtrees)		1.4375704118976365	3.5436508297204257
32	FFNN (huge, subtrees)		2.1661190874046747	7.270978494019837
33	CNN (huge, subtrees)		1.3426482623308345	3.1015787753476136
33	FFNN (large)		1.5814424999999999	4.0082880634275195
33	FFNN (huge, subtrees)		1.67086820532249	4.193174825748876
33	real-subtrees	0.26093136025416896	1.64294519670258	4.10028789356258
33	real	0.26093136025416896	1.64294519670258	4.10028789356258
33	CNN (large)		1.65422	4.08930957857787
34	FFNN (large)		1.8607278000000003	10.7415240971942
34	real	0.7122368627725292	1.6072740677349198	9.743258526672
34	real-subtrees	0.7122368627725292	1.6072740677349198	9.743258526672
34	CNN (large)		1.9236879	10.882043972463698
34	FFNN (huge, subtrees)		1.5967330092248049	9.852347256351091
34	CNN (huge, subtrees)		1.1994497708075302	4.101002469644134
35	CNN (large)		3.1040878	1.9376230918835902
35	real	0.6963256593316228	2.89840332646245	1.90236312740343
35	FFNN (huge, subtrees)		3.053623631014775	1.9932000162677224
35	CNN (huge, subtrees)		1.5809810396682646	1.0114097798369612
35	FFNN (large)		3.0299568	1.9089727248626798
35	real-subtrees	0.6963256593316228	2.89840332646245	1.90236312740343
36	real	0.5950193701821059	4.63695326824049	9.96299159236124
36	CNN (huge, subtrees)		2.374146478801097	5.7060521779477025
36	FFNN (huge, subtrees)		4.322918988848197	9.33406488511169
36	real-subtrees	0.5950193701821059	4.63695326824049	9.96299159236124
36	FFNN (large)		4.4647326	9.58546142311819
36	CNN (large)		4.564618599999999	9.68399087927405
37	CNN (large)		2.7403972000000003	9.434908583168939
37	FFNN (large)		2.6647859	9.211877769826039
37	real	0.9884062423192629	2.8823543038636696	9.84374222422125
37	FFNN (huge, subtrees)		2.9033668627151914	9.933122636004803
37	CNN (huge, subtrees)		1.7046120513779954	4.759169633849045
37	real-subtrees	0.9884062423192628	2.8823543038636696	9.84374222422125
38	FFNN (large)		2.0813818	9.235849539326882
38	real	0.04400101102247	2.04017065552861	9.19913960211095
38	real-subtrees	0.04400101102247	2.04017065552861	9.19913960211095
38	FFNN (huge, subtrees)		2.0771714703293283	9.220315585239867
38	CNN (huge, subtrees)		2.1153056616207717	29.486306950933557
38	CNN (large)		1.9894154	8.85824204155441
39	real	0.863561901391721	4.1304698144791505	7.93967083466437
39	CNN (large)		4.7149377	8.87813925978887
39	FFNN (huge, subtrees)		4.009705438512136	7.766253387614736
39	FFNN (large)		4.6937226999999995	8.882230532140829
39	CNN (huge, subtrees)		1.968411434923936	3.9630476843342666
39	real-subtrees	0.863561901391721	4.130469814479151	7.93967083466437
40	real-subtrees	0.753474302096826	2.12202591602842	3.33218678931785
40	FFNN (large)		1.8351370999999999	2.88709062404965
40	CNN (large)		1.8277183000000001	2.87160365450027
40	CNN (huge, subtrees)		1.437509955247708	1.7584487119199856
40	real	0.753474302096826	2.12202591602842	3.33218678931785
40	FFNN (huge, subtrees)		2.1837266388105787	3.4457530935566627
41	real	0.06516126714282901	1.10806423481873	8.1662771234884
41	CNN (large)		1.1000556000000001	7.69384754068115
41	CNN (huge, subtrees)		1.1384399801153346	6.909605959478992
41	FFNN (large)		1.106459	7.83581499778064
41	FFNN (huge, subtrees)		1.1079362636233685	8.1664892291352
41	real-subtrees	0.06516126714282901	1.1080642348187302	8.1662771234884
42	CNN (huge, subtrees)		1.7770273980984963	5.961481448223716
42	real	0.211997764519563	2.2562468981675496	6.24800167369021
42	FFNN (large)		2.4264789	7.0104064664314105
42	real-subtrees	0.211997764519563	2.2562468981675496	6.248001673690211
42	FFNN (huge, subtrees)		2.2877684885030174	6.3220022423547295
42	CNN (large)		2.3258035	6.8122809791879595
43	FFNN (large)		4.655606	5.48090348500387
43	real-subtrees	0.479094450152141	4.9780394663245895	5.87064714896286
43	FFNN (huge, subtrees)		4.539844269592134	5.408121585012231
43	real	0.479094450152141	4.9780394663245895	5.87064714896286
43	CNN (huge, subtrees)		2.4822730137146176	3.8142419560730714
43	CNN (large)		4.594036599999999	5.4559912647226705
44	CNN (huge, subtrees)		2.309158883389645	7.455552400374487
44	FFNN (large)		4.53408	6.60210886792491
44	real-subtrees	0.173289765135291	4.00145497590047	5.9538553367194815
44	FFNN (huge, subtrees)		4.077802483136246	5.985475268176629
44	real	0.17328976513529099	4.00145497590047	5.953855336719481
44	CNN (large)		4.585878	6.5622396915889505
45	real-subtrees	0.081986555226558	3.9820158233850296	1.5114336283019498
45	CNN (huge, subtrees)		1.6545510970997426	2.603914691432048
45	real	0.081986555226558	3.98201582338503	1.51143362830195
45	FFNN (huge, subtrees)		4.043733523916941	1.520928964335672
45	FFNN (large)		4.291434	1.55503557916507
45	CNN (large)		4.361251	1.57614799479508
46	CNN (large)		2.5649047	9.721112741808199
46	CNN (huge, subtrees)		1.7574244577609346	21.86848848035035
46	FFNN (huge, subtrees)		2.6051263420045743	9.856914648670177
46	real	0.072078619664074	2.57869919360427	9.89757238075924
46	real-subtrees	0.072078619664074	2.5786991936042694	9.89757238075924
46	FFNN (large)		2.5482192	9.63796555794191
47	CNN (large)		1.9160828999999997	2.94753521483019
47	CNN (huge, subtrees)		1.896551389789604	7.331019408235972
47	FFNN (large)		1.8925761000000003	2.8398086319491203
47	real	0.053541740290251	1.9124012724232302	2.9342853233323996
47	FFNN (huge, subtrees)		1.970105730478828	3.01401987051189
47	real-subtrees	0.053541740290251	1.9124012724232304	2.9342853233324
48	CNN (huge, subtrees)		1.173668847509824	3.860618538774761
48	CNN (large)		1.473057	4.26918642979299
48	FFNN (huge, subtrees)		1.3563158626647325	4.147139087281124
48	real	0.13028615623280498	1.3517858668854699	4.1329878544006
48	real-subtrees	0.13028615623280498	1.35178586688547	4.1329878544006
48	FFNN (large)		1.4388646	4.27986929378335
49	real-subtrees	0.668530048727303	3.00960098167794	4.29309911441693
49	FFNN (huge, subtrees)		3.0436037847082265	4.3589480108979775
49	real	0.668530048727303	3.00960098167794	4.29309911441693
49	CNN (huge, subtrees)		1.787950796286897	2.4920851963502613
49	CNN (large)		2.7967196	4.11840017895828
49	FFNN (large)		2.983006	4.27226065180219
50	FFNN (huge, subtrees)		4.410818149528327	2.614490061278504
50	CNN (large)		4.4095016	2.727786154324
50	CNN (huge, subtrees)		2.0914761010601586	1.2540899540281736
50	real-subtrees	0.980302409111056	4.8569023922312695	2.8300087827524303
50	real	0.9803024091110559	4.8569023922312695	2.8300087827524303
50	FFNN (large)		4.32651	2.7375011981222896
51	real-subtrees	0.4570865142535761	3.3634835698924603	8.118682583744759
51	real	0.45708651425357605	3.36348356989246	8.118682583744759
51	FFNN (huge, subtrees)		3.3974935938264714	8.192665107970669
51	CNN (large)		3.972815	9.383013282253302
51	FFNN (large)		4.025644000000001	9.415639342762038
51	CNN (huge, subtrees)		1.9229857711591456	5.273516191240412
52	real-subtrees	0.771917657113499	2.18727273923006	8.18802851609361
52	real	0.771917657113499	2.18727273923006	8.18802851609361
52	FFNN (huge, subtrees)		2.212831851680142	8.27960821509757
52	FFNN (large)		2.3790287999999995	8.533030123736111
52	CNN (large)		2.318187	8.29776997525933
52	CNN (huge, subtrees)		1.41450280255533	3.83415520514458
53	CNN (huge, subtrees)		1.2008049831202419	4.869643774477357
53	real-subtrees	0.599013734826015	1.37280305845909	8.800632686672289
53	CNN (large)		1.2759128	8.15765437933279
53	FFNN (huge, subtrees)		1.3772847936559651	8.771451772877999
53	FFNN (large)		1.2457823000000001	8.11879195503543
53	real	0.599013734826015	1.37280305845909	8.800632686672289
54	FFNN (huge, subtrees)		1.1034425077409065	9.462551317722609
54	CNN (huge, subtrees)		1.1220143646462817	13.920899883854975
54	real-subtrees	0.028678307799949	1.09615181189916	9.39341898806131
54	FFNN (large)		1.0999649	9.632314498330631
54	CNN (large)		1.0998118000000001	9.713146853652301
54	real	0.028678307799949	1.09615181189916	9.39341898806131
55	real-subtrees	0.719745465462327	2.59392116969895	8.5798349041821
55	FFNN (huge, subtrees)		2.616290071810752	8.587985575796369
55	FFNN (large)		2.808928	9.39945936287892
55	CNN (huge, subtrees)		1.5312999460785144	4.524093542742052
55	real	0.719745465462327	2.59392116969895	8.5798349041821
55	CNN (large)		2.87969	9.51168328160243
56	real-subtrees	0.709755379395745	1.31607217179727	2.03490504106304
56	CNN (large)		1.1508702	1.8006406642173898
56	FFNN (large)		1.135623	1.8004130556751998
56	FFNN (huge, subtrees)		1.274844840489324	1.9786155528485447
56	real	0.709755379395745	1.31607217179727	2.03490504106304
56	CNN (huge, subtrees)		1.167157326309732	0.8456133606400373
57	CNN (huge, subtrees)		2.751978275781151	7.043284219109263
57	FFNN (large)		3.799714	7.3015032289068404
57	FFNN (huge, subtrees)		4.004055214557232	7.583356661178044
57	CNN (large)		4.0847135	7.76393073628466
57	real	0.315708146347286	4.0760721702964	7.68653722298815
57	real-subtrees	0.315708146347286	4.076072170296402	7.68653722298815
58	CNN (huge, subtrees)		1.4763024586311018	6.941498717851745
58	CNN (large)		1.5498889999999999	3.97867775180416
58	real	0.058393576174147	1.5271300124978602	3.81093888729577
58	FFNN (large)		1.5365001	3.9550397229955094
58	real-subtrees	0.058393576174147	1.5271300124978602	3.81093888729577
58	FFNN (huge, subtrees)		1.4951124955712225	3.6883003734883415
59	FFNN (huge, subtrees)		1.8709219930030891	4.387367168576669
59	FFNN (large)		1.7595506	4.1389105855422095
59	CNN (large)		1.702394	4.04178693302401
59	real-subtrees	0.659415506842797	1.83134238849143	4.334857267957701
59	real	0.659415506842797	1.83134238849143	4.334857267957701
59	CNN (huge, subtrees)		1.3431579651591223	2.4960606689304523
60	real	0.656311148277083	3.5157229266478995	4.10240917998636
60	FFNN (large)		3.6655192000000003	4.0732980767208
60	CNN (huge, subtrees)		1.894502560507623	2.2409461145933207
60	FFNN (huge, subtrees)		3.4767087890493737	4.096897182859148
60	CNN (large)		4.0388336	4.33083106431535
60	real-subtrees	0.656311148277083	3.5157229266478995	4.102409179986362
61	FFNN (huge, subtrees)		4.288293484881258	8.267968570275606
61	CNN (huge, subtrees)		1.3175198895766738	17.808200644108958
61	real-subtrees	0.034384591727998	4.492830021120759	8.857992106696129
61	real	0.034384591727998	4.49283002112076	8.85799210669613
61	FFNN (large)		3.9444537000000004	7.7141362398379005
61	CNN (large)		4.23244	8.598323105305258
62	FFNN (large)		2.9085077999999998	5.18977192186509
62	CNN (huge, subtrees)		1.7294034754774767	2.9407962806084575
62	CNN (large)		3.0736125	5.34683700942092
62	real	0.5925939063243211	2.8721549913822697	4.94869317734733
62	FFNN (huge, subtrees)		2.9120467028258634	4.981750366439268
62	real-subtrees	0.5925939063243211	2.8721549913822697	4.94869317734733
63	FFNN (large)		4.578108	6.51735999358539
63	CNN (huge, subtrees)		2.3542919247546883	3.9828907119689063
63	CNN (large)		4.57126	6.48704176097106
63	real	0.562108207434283	4.13216514162883	6.212005918964441
63	real-subtrees	0.562108207434283	4.13216514162883	6.212005918964441
63	FFNN (huge, subtrees)		4.147819203703092	6.273354605799715
64	FFNN (large)		3.9040421999999997	4.5098832288147
64	CNN (large)		3.8189900000000003	4.438624222754281
64	real	0.030128264459099	3.9216077969367498	4.760450825988941
64	real-subtrees	0.030128264459099	3.9216077969367498	4.760450825988941
64	CNN (huge, subtrees)		1.1322477076586988	10.764440425016263
64	FFNN (huge, subtrees)		3.8919700382957383	4.611024248931144
65	FFNN (huge, subtrees)		3.0228760370697043	7.875271415692576
65	real-subtrees	0.85702793812619	3.13974607941654	8.17948037341495
65	CNN (large)		2.84444	7.796402477963969
65	real	0.85702793812619	3.13974607941654	8.17948037341495
65	FFNN (large)		2.7847543	7.67007892217443
65	CNN (huge, subtrees)		1.4350964655091558	3.1504075066081767
66	CNN (large)		4.637624	4.11012635145684
66	real	0.309802141027658	4.7456756408728795	4.3458423265811605
66	FFNN (huge, subtrees)		4.479384440717931	4.113936981448799
66	CNN (huge, subtrees)		2.47840299464638	3.882448862331859
66	FFNN (large)		4.638856400000001	4.08384623944428
66	real-subtrees	0.309802141027658	4.74567564087288	4.3458423265811605
67	CNN (large)		3.6331275	10.0217521380384
67	FFNN (large)		3.223919	9.43910654507801
67	real	0.712991955189732	3.1957156002522202	9.49929316096915
67	real-subtrees	0.712991955189732	3.1957156002522202	9.49929316096915
67	FFNN (huge, subtrees)		3.1691141499348503	9.481075142379236
67	CNN (huge, subtrees)		1.709221606491495	4.515806745531844
68	FFNN (large)		3.197186	2.9076663956734596
68	real	0.7632114424545251	3.19950935981341	3.0905914032177297
68	FFNN (huge, subtrees)		3.1781435129393185	3.0575916362967517
68	CNN (large)		3.3650818	2.9942823707120403
68	CNN (huge, subtrees)		1.7977813182242313	1.679164780432767
68	real-subtrees	0.7632114424545251	3.19950935981341	3.0905914032177297
69	real-subtrees	0.694965717453596	4.48141696410608	1.73987824970582
69	FFNN (large)		4.4636629999999995	1.79316436796426
69	real	0.694965717453596	4.48141696410608	1.73987824970582
69	FFNN (huge, subtrees)		4.4540464290041335	1.7342827337322846
69	CNN (large)		4.5382557	1.7938988482336
69	CNN (huge, subtrees)		2.5612899260546156	1.0817363273699594
70	CNN (huge, subtrees)		2.124765045156256	2.7130416248184885
70	real-subtrees	0.275882597569828	2.91255517219599	2.92028798115583
70	FFNN (large)		2.8875832999999997	2.7600164280872703
70	real	0.27588259756982797	2.91255517219599	2.92028798115583
70	FFNN (huge, subtrees)		3.0448256674098597	3.035245971204406
70	CNN (large)		2.875104	2.77262734212624
71	real-subtrees	0.476528933108181	4.694012890604331	5.65258160881333
71	FFNN (huge, subtrees)		4.4710512725938445	5.370886561551328
71	FFNN (large)		4.293891	5.087973567493231
71	real	0.47652893310818106	4.694012890604331	5.65258160881333
71	CNN (huge, subtrees)		2.272033979595353	3.6998193468435776
71	CNN (large)		4.3851943	5.07434174621553
72	FFNN (huge, subtrees)		4.172127626739198	5.073462302099445
72	real-subtrees	0.579081092450435	4.378071893501439	5.259625095776871
72	real	0.579081092450435	4.378071893501439	5.259625095776871
72	FFNN (large)		4.535749	5.51270016477182
72	CNN (large)		4.638566	5.5894788897870304
72	CNN (huge, subtrees)		2.3870334103729745	3.4101252659982078
73	FFNN (large)		1.5266986	9.716604055460609
73	real-subtrees	0.8522423453571061	1.58659566235451	9.94489233557182
73	real	0.8522423453571061	1.58659566235451	9.94489233557182
73	CNN (huge, subtrees)		1.2345070324771268	4.879387042259091
73	CNN (large)		1.5661067	9.91997693790832
73	FFNN (huge, subtrees)		1.5761730599439732	9.939459020235608
74	FFNN (large)		2.603735	3.33243555923934
74	real	0.8361328835264841	2.91709464714117	3.61120243747262
74	FFNN (huge, subtrees)		2.871125860503988	3.5950696035979615
74	real-subtrees	0.8361328835264841	2.9170946471411705	3.6112024374726213
74	CNN (large)		2.746714	3.4865899084973995
74	CNN (huge, subtrees)		1.5882191572674622	1.664349930004719
75	CNN (huge, subtrees)		2.3347741635892243	2.8631932872297248
75	real	0.6298635048645059	4.450936434885549	4.91919818680226
75	CNN (large)		4.3101277	4.65353382257063
75	real-subtrees	0.6298635048645059	4.450936434885549	4.91919818680226
75	FFNN (large)		4.4784284	4.727869870884691
75	FFNN (huge, subtrees)		4.215695478464996	4.681378502960283
76	CNN (huge, subtrees)		1.8566809927549544	1.9718553064367441
76	real	0.8528793034986479	3.4769488744239996	3.77944436325511
76	real-subtrees	0.8528793034986479	3.4769488744239996	3.77944436325511
76	FFNN (huge, subtrees)		3.422026104263112	3.7293698957072032
76	FFNN (large)		3.2559457000000003	3.41157549836375
76	CNN (large)		3.2600903999999997	3.43506077368478
77	FFNN (huge, subtrees)		2.174836606181501	5.045592078923401
77	FFNN (large)		2.0638266	4.996907160460981
77	real	0.941700082344554	2.2516489107302298	5.11683654270122
77	real-subtrees	0.941700082344554	2.2516489107302298	5.11683654270122
77	CNN (large)		2.0728972	4.9926764501844
77	CNN (huge, subtrees)		1.3450162303629989	2.132321153014637
78	real-subtrees	0.2369043444283169	3.3273806738828497	2.1431600191352
78	FFNN (large)		3.136454	2.02504224004826
78	real	0.23690434442831698	3.3273806738828497	2.1431600191352
78	FFNN (huge, subtrees)		3.4836308828091465	2.21610406847936
78	CNN (huge, subtrees)		2.3541854229974155	2.1243760116200145
78	CNN (large)		3.1318617000000004	2.02157902509299
79	CNN (large)		2.6324131	6.45546442117537
