	type	p	R0	infectious period
20	real	0.6990373064964879	2.26472222793925	9.86418225716325
21	FFNN-SS		4.0446005	1.2177349212944
21	real	0.696892307173573	3.5644820949216096	1.1840281538366202
21	CNN-CBLV		4.011319	1.1990587669961899
21	CNN-CBLV (trained on large trees)		3.6244917	1.1431845321013
21	real-subtrees	0.696892307173573	3.5644820949216096	1.1840281538366202
21	FFNN-SS (trained on large trees)		4.045368700000001	1.21712187334538
22	real	0.7247059563973058	3.86666394828994	5.03940570709311
22	real-subtrees	0.7247059563973058	3.86666394828994	5.03940570709311
22	CNN-CBLV (trained on large trees)		2.2933733	3.39790106003
22	FFNN-SS		3.0656803	4.12187843067072
22	CNN-CBLV		3.1875467	4.2510501497619595
22	FFNN-SS (trained on large trees)		2.9203763	3.9613392890763395
23	real-subtrees	0.6414645061257379	3.04701468788737	6.63159100393499
23	FFNN-SS		3.6798246	7.562331504554019
23	CNN-CBLV (trained on large trees)		3.409131	7.367143441286331
23	real	0.6414645061257379	3.04701468788737	6.63159100393499
23	FFNN-SS (trained on large trees)		3.7317948	7.68244934813676
23	CNN-CBLV		3.6288772000000002	7.5734206810071205
24	FFNN-SS		1.9824051999999999	3.2463728841054396
24	real	0.643898029758479	1.99045417043581	3.4465631889445
24	CNN-CBLV		2.073597	3.3573633057997
24	real-subtrees	0.643898029758479	1.99045417043581	3.4465631889445
24	FFNN-SS (trained on large trees)		1.9591169999999998	3.21851092982255
24	CNN-CBLV (trained on large trees)		1.7827708999999998	3.03809766344234
25	CNN-CBLV		4.215735400000001	5.04373451190298
25	FFNN-SS (trained on large trees)		4.372937	5.1066261948737095
25	real	0.48121185528178795	4.31960287285461	5.1683748320886105
25	CNN-CBLV (trained on large trees)		3.8939218999999996	4.80260479092683
25	FFNN-SS		4.272573	4.98093474784392
25	real-subtrees	0.48121185528178795	4.31960287285461	5.1683748320886105
26	CNN-CBLV		1.5842370000000001	6.216680928144929
26	real	0.5149569540038039	2.1377848987857897	7.36162415983551
26	CNN-CBLV (trained on large trees)		1.094702	3.9932728886007203
26	real-subtrees	0.5149569540038039	2.1377848987857897	7.36162415983551
26	FFNN-SS		1.5278533	6.06447336931538
26	FFNN-SS (trained on large trees)		1.351497	5.702134456492491
27	CNN-CBLV		2.0379262	8.794905788050249
27	CNN-CBLV (trained on large trees)		1.8291194	8.18889844855612
27	FFNN-SS		2.1153731	9.14618625584948
27	real-subtrees	0.56365538713398	2.07624762855581	9.01005174319111
27	FFNN-SS (trained on large trees)		2.0106254	8.75256069726384
27	real	0.56365538713398	2.07624762855581	9.01005174319111
28	real-subtrees	0.431204961691726	4.16341760032343	4.1587713829327795
28	CNN-CBLV		3.6953685	4.002769202739681
28	FFNN-SS		3.8162034	4.0619289788088295
28	CNN-CBLV (trained on large trees)		2.9778535	3.48893561301773
28	FFNN-SS (trained on large trees)		3.6860604	3.97678910635694
28	real	0.431204961691726	4.16341760032343	4.1587713829327795
29	FFNN-SS		1.1644186	8.5502801863718
29	CNN-CBLV		1.220228	8.92433585791271
29	real	0.433844954451166	1.3952164793689998	9.46790437014873
29	real-subtrees	0.433844954451166	1.3952164793689998	9.46790437014873
29	CNN-CBLV (trained on large trees)		1.1971447	8.7809479116339
29	FFNN-SS (trained on large trees)		1.1917284	8.72432285798654
30	CNN-CBLV		3.9135739999999997	5.86346927861056
30	CNN-CBLV (trained on large trees)		3.7659222999999997	4.92034839378306
30	FFNN-SS (trained on large trees)		3.8624867999999997	6.14685483075661
30	real-subtrees	0.039596812543999	4.29770214510469	6.63889550840505
30	real	0.039596812543999	4.29770214510469	6.63889550840505
30	FFNN-SS		4.113757	6.21834393659691
31	FFNN-SS (trained on large trees)		3.279406	5.699295740821951
31	real-subtrees	0.992500611312826	3.7781990364535294	6.40100110330551
31	CNN-CBLV		3.7103808	6.111731692074981
31	real	0.992500611312826	3.7781990364535294	6.40100110330551
31	FFNN-SS		3.5891616	5.99335806949578
31	CNN-CBLV (trained on large trees)		2.8373914	5.36325298251145
32	real	0.29750395226342996	4.8355221137200095	4.9096903396054
32	CNN-CBLV		4.666683	4.31156835994922
32	real-subtrees	0.29750395226342996	4.8355221137200095	4.9096903396054
32	FFNN-SS		4.6867743	4.396103748700161
32	CNN-CBLV (trained on large trees)		4.622578599999999	4.3151890680792
32	FFNN-SS (trained on large trees)		4.6277843	4.412448423352849
33	CNN-CBLV (trained on large trees)		1.4749637	3.2620857096498703
33	FFNN-SS		1.7048696	3.64940446881067
33	FFNN-SS (trained on large trees)		1.7301242	3.6824912768045404
33	real	0.841324163682473	1.63644761582259	4.01686134822167
33	real-subtrees	0.841324163682473	1.63644761582259	4.01686134822167
33	CNN-CBLV		1.7254168	3.62154534362365
34	FFNN-SS		1.6499051	6.06329301208901
34	real-subtrees	0.12328402704872801	1.6970635603251398	6.7507295376715994
34	real	0.12328402704872801	1.6970635603251398	6.7507295376715994
34	CNN-CBLV		1.6812487	6.024686174911049
34	FFNN-SS (trained on large trees)		1.663717	6.2051292187354505
34	CNN-CBLV (trained on large trees)		1.6613528999999998	6.01170280187762
35	CNN-CBLV		1.068518	2.92085863693099
35	real-subtrees	0.697335584211213	1.23347705420225	3.18509362703941
35	FFNN-SS (trained on large trees)		1.0562328	2.93084147611402
35	CNN-CBLV (trained on large trees)		1.061995	2.82332241183176
35	FFNN-SS		1.0422559	2.88369192467341
35	real	0.697335584211213	1.23347705420225	3.18509362703941
36	real-subtrees	0.761687024809397	4.60329012065937	5.31170773860572
36	CNN-CBLV (trained on large trees)		1.2647989	1.67907332397183
36	FFNN-SS (trained on large trees)		1.9306568	2.57833175808386
36	real	0.761687024809397	4.60329012065937	5.31170773860572
36	FFNN-SS		2.892578	3.49451156598571
36	CNN-CBLV		2.6727512000000004	3.16885334889676
37	CNN-CBLV		4.276089	2.27840602815523
37	FFNN-SS		4.3086123	2.30063275811653
37	real-subtrees	0.8185629007850981	4.68529505862432	2.55676430923206
37	FFNN-SS (trained on large trees)		3.220478	2.0339517851926003
37	CNN-CBLV (trained on large trees)		3.1345023999999997	2.50332458889244
37	real	0.8185629007850981	4.68529505862432	2.55676430923206
38	FFNN-SS		1.7341532	10.076621809345198
38	real-subtrees	0.669170047822695	2.03969737047379	9.94809352817936
38	real	0.669170047822695	2.03969737047379	9.94809352817936
38	FFNN-SS (trained on large trees)		1.7616366	9.78886054418278
38	CNN-CBLV (trained on large trees)		1.2154176	6.57350774134842
38	CNN-CBLV		2.1999912	11.8230450547545
39	real-subtrees	0.471332124008718	4.1460107301399205	9.7535824049993
39	CNN-CBLV		4.5059814000000005	10.593440584118401
39	FFNN-SS (trained on large trees)		4.629372	10.623150319273302
39	FFNN-SS		4.6120133	10.5743844370048
39	CNN-CBLV (trained on large trees)		4.5951242	10.713111698777501
39	real	0.471332124008718	4.1460107301399205	9.7535824049993
40	real	0.21406437858100197	4.9738673678461796	7.88311408536617
40	FFNN-SS		4.1340547	6.95450143963693
40	CNN-CBLV		3.8132093	6.60421569161932
40	CNN-CBLV (trained on large trees)		2.8308456000000004	5.214989221085769
40	real-subtrees	0.21406437858100197	4.9738673678461796	7.88311408536617
40	FFNN-SS (trained on large trees)		3.1768932	5.98843267663674
41	real-subtrees	0.574081884867683	2.12033586001674	3.75962171639938
41	CNN-CBLV		1.5401053	2.9589742361802407
41	CNN-CBLV (trained on large trees)		1.4685518999999998	2.8617115731096803
41	FFNN-SS		1.5722252	3.0740370616407997
41	FFNN-SS (trained on large trees)		1.5847646	3.0648455751548997
41	real	0.574081884867683	2.12033586001674	3.75962171639938
42	CNN-CBLV (trained on large trees)		0.99835867	4.000651275268299
42	real-subtrees	0.159335631074086	1.01712175596267	5.1374305108572
42	FFNN-SS		1.0380965	6.0676133994253805
42	real	0.159335631074086	1.01712175596267	5.1374305108572
42	FFNN-SS (trained on large trees)		1.0694366000000002	5.70515009995779
42	CNN-CBLV		1.0636402	5.92494734601877
43	FFNN-SS		1.2053391000000002	9.007395338345539
43	real	0.756224307085769	1.13040668893917	8.94330001548193
43	FFNN-SS (trained on large trees)		1.1856008999999998	8.92896659866407
43	real-subtrees	0.756224307085769	1.13040668893917	8.94330001548193
43	CNN-CBLV (trained on large trees)		1.0905106000000002	8.71211116972383
43	CNN-CBLV		1.3608873	9.49006562227209
44	CNN-CBLV (trained on large trees)		2.0014231	8.1337108196209
44	FFNN-SS		2.0336096	8.31114615846717
44	real	0.27498712417873805	2.0371429317016	8.635307210143461
44	FFNN-SS (trained on large trees)		2.060995	8.400753429330539
44	real-subtrees	0.27498712417873805	2.0371429317016	8.635307210143461
44	CNN-CBLV		1.9506708	7.97994119977342
45	real	0.788609331502264	1.38711493051795	8.287180375822379
45	CNN-CBLV (trained on large trees)		1.1048572	6.994778334145559
45	real-subtrees	0.788609331502264	1.38711493051795	8.287180375822379
45	FFNN-SS (trained on large trees)		1.2747498	7.78586181678836
45	FFNN-SS		1.2819105	7.81906113128451
45	CNN-CBLV		1.2999524	7.926528826401251
46	CNN-CBLV		3.9926633999999996	5.023508131794889
46	CNN-CBLV (trained on large trees)		3.9603066	5.12084205866869
46	FFNN-SS (trained on large trees)		3.7498050000000003	4.8870132389174
46	real-subtrees	0.7014390137602291	3.1082095266453997	3.94232383193552
46	real	0.7014390137602291	3.1082095266453997	3.94232383193552
46	FFNN-SS		3.9951062000000004	5.12291449508679
47	CNN-CBLV		3.7940671000000004	6.5829469968086505
47	CNN-CBLV (trained on large trees)		3.8195902999999998	6.47410748551006
47	FFNN-SS		3.7258217000000005	6.51789418550856
47	real-subtrees	0.808212254047166	3.21859916797684	5.558651551091981
47	FFNN-SS (trained on large trees)		3.4803224000000004	6.20694647593409
47	real	0.808212254047166	3.21859916797684	5.558651551091981
48	CNN-CBLV (trained on large trees)		2.8520012	3.63272540663793
48	CNN-CBLV		3.3178419999999997	3.9926127442500903
48	FFNN-SS (trained on large trees)		3.4278774	4.03604660592564
48	real-subtrees	0.365261342037734	3.27501650626372	3.86136022241978
48	real	0.365261342037734	3.27501650626372	3.86136022241978
48	FFNN-SS		3.4237337	4.03009128915542
49	real	0.282269701860147	1.7602863023848	3.74026012627249
49	FFNN-SS (trained on large trees)		2.1518202	4.60992689124914
49	real-subtrees	0.282269701860147	1.7602863023848	3.74026012627249
49	CNN-CBLV (trained on large trees)		1.8587444	4.2192955941815296
49	CNN-CBLV		2.238292	4.78471187352641
49	FFNN-SS		2.4413588	5.01702096549959
50	FFNN-SS (trained on large trees)		2.7770638	10.155822001816501
50	CNN-CBLV		2.7431338	10.1977748635824
50	CNN-CBLV (trained on large trees)		2.5630995999999997	9.749568081721689
50	real	0.21804878003254197	2.5471205701289104	9.138052576748619
50	real-subtrees	0.21804878003254197	2.5471205701289104	9.138052576748619
50	FFNN-SS		2.8182017999999998	10.240977760338
51	real	0.7784209261563249	2.6846328166705096	9.68135443741475
51	real-subtrees	0.7784209261563249	2.6846328166705096	9.68135443741475
51	FFNN-SS (trained on large trees)		2.2920895	8.740099417037019
51	CNN-CBLV		2.4167058	9.08872800614565
51	FFNN-SS		2.635698	9.5770962634132
51	CNN-CBLV (trained on large trees)		1.7023686999999998	7.14814381140975
52	real	0.671076522652323	3.16791002659972	9.168237111961359
52	real-subtrees	0.671076522652323	3.16791002659972	9.168237111961359
52	FFNN-SS (trained on large trees)		2.9817505	8.199063982301402
52	FFNN-SS		2.9717119	8.26072889828395
52	CNN-CBLV		2.980282	8.34367447239136
52	CNN-CBLV (trained on large trees)		2.2050207000000004	6.859310535522949
53	CNN-CBLV (trained on large trees)		2.814341	5.1697117604576395
53	real	0.31666167883646	3.8387019186499702	7.07328402006388
53	CNN-CBLV		2.9931931	5.44985840037744
53	FFNN-SS (trained on large trees)		3.0326310000000003	5.516097306471339
53	FFNN-SS		3.0444329	5.527576031413879
53	real-subtrees	0.31666167883646	3.8387019186499702	7.07328402006388
54	FFNN-SS (trained on large trees)		3.7240777	1.28775697250007
54	CNN-CBLV (trained on large trees)		4.187465	1.28241894092443
54	real	0.36973109177167796	4.6254510167712	1.40033432306992
54	FFNN-SS		4.4722114	1.3569775429925302
54	CNN-CBLV		4.475683	1.36371141708853
54	real-subtrees	0.36973109177167796	4.6254510167712	1.40033432306992
55	real	0.630679123488315	2.6603332958086097	8.138163475223111
55	FFNN-SS (trained on large trees)		2.4412742	7.26101260291863
55	FFNN-SS		2.474239	7.311954433417231
55	CNN-CBLV (trained on large trees)		2.6622915000000003	7.48816630823686
55	real-subtrees	0.630679123488315	2.6603332958086097	8.138163475223111
55	CNN-CBLV		2.4854434	7.290187257365369
56	real	0.473015420574383	3.8647770694028596	1.21083128058042
56	CNN-CBLV		4.171108	1.3998746258813402
56	FFNN-SS		4.301220400000001	1.4052103076435802
56	FFNN-SS (trained on large trees)		3.8937497000000003	1.35915174348261
56	real-subtrees	0.473015420574383	3.8647770694028596	1.21083128058042
56	CNN-CBLV (trained on large trees)		3.692962	1.17719154019382
57	CNN-CBLV (trained on large trees)		1.7585025	1.8902414559243401
57	FFNN-SS		4.064947	3.76995589754565
57	FFNN-SS (trained on large trees)		2.7391634	2.9107406094247903
57	CNN-CBLV		3.9653356	3.6481052173300696
57	real-subtrees	0.578630938060811	4.2026596601974	3.9752519178787797
57	real	0.578630938060811	4.2026596601974	3.9752519178787797
58	CNN-CBLV (trained on large trees)		1.0797565	3.19803544377154
58	CNN-CBLV		1.2717265	4.70769341050684
58	real-subtrees	0.19405478758582503	1.26268658550354	4.34457588861804
58	FFNN-SS		1.2899091	4.85351771379098
58	real	0.19405478758582503	1.26268658550354	4.34457588861804
58	FFNN-SS (trained on large trees)		1.2369765	4.90919419884979
59	FFNN-SS (trained on large trees)		1.419254	8.69852119384367
59	FFNN-SS		1.3954425	8.68703560582647
59	CNN-CBLV		1.4498438999999999	8.7271139941327
59	real	0.867551533753728	1.3824922217841797	8.71635579862137
59	real-subtrees	0.867551533753728	1.3824922217841797	8.71635579862137
59	CNN-CBLV (trained on large trees)		1.1144128	6.88930941022321
60	real-subtrees	0.26075858909704897	2.1416378758166497	8.9671691455663
60	FFNN-SS		2.5645185	10.859016016856199
60	CNN-CBLV (trained on large trees)		2.5825292999999996	11.0025310922938
60	FFNN-SS (trained on large trees)		2.4514532000000004	10.487884716994099
60	CNN-CBLV		2.4524946	10.305680165239401
60	real	0.26075858909704897	2.1416378758166497	8.9671691455663
61	FFNN-SS (trained on large trees)		1.2084582	5.27887414742584
61	CNN-CBLV (trained on large trees)		1.2016268	5.25641674963584
61	real	0.506667821500711	1.2725242206933403	5.11995247527523
61	real-subtrees	0.506667821500711	1.2725242206933403	5.11995247527523
61	FFNN-SS		1.1929835	5.18382175608016
61	CNN-CBLV		1.1810436000000002	5.14601634296836
62	FFNN-SS		4.067546	8.05514597813546
62	CNN-CBLV (trained on large trees)		3.4091396	7.204830350626531
62	CNN-CBLV		4.034269	7.888191800238251
62	real-subtrees	0.515355992667612	4.03935409984645	8.60614149380901
62	FFNN-SS (trained on large trees)		3.888785	7.855147297108201
62	real	0.515355992667612	4.03935409984645	8.60614149380901
63	FFNN-SS		2.1456473	5.368050741063731
63	CNN-CBLV (trained on large trees)		1.5727111999999999	4.2414799564205
63	CNN-CBLV		2.121988	5.27186923704096
63	real-subtrees	0.630517928614465	3.2222973941870694	7.56207447437278
63	real	0.630517928614465	3.2222973941870694	7.56207447437278
63	FFNN-SS (trained on large trees)		2.1383123	5.1724257245894005
64	FFNN-SS		2.618236	1.28015970505169
64	CNN-CBLV		2.7267199	1.2808482480534198
64	real-subtrees	0.5515665583779	3.71415172803716	1.87184823904502
64	real	0.5515665583779	3.71415172803716	1.87184823904502
64	CNN-CBLV (trained on large trees)		1.486558	0.8396634108924841
64	FFNN-SS (trained on large trees)		2.1880662	1.12094942237992
65	FFNN-SS (trained on large trees)		3.5712379999999997	1.17623290799221
65	real	0.219197365535943	3.96268270284717	1.1889378209585901
65	CNN-CBLV		3.7387953	1.2030344604423102
65	real-subtrees	0.219197365535943	3.96268270284717	1.1889378209585901
65	FFNN-SS		4.027581700000001	1.2677165328852802
65	CNN-CBLV (trained on large trees)		3.7854528	1.2114432468752199
66	CNN-CBLV		1.8728293999999999	9.4030924351511
66	real-subtrees	0.935733845155565	1.4661616132397401	8.08773614158272
66	FFNN-SS (trained on large trees)		1.8621053	9.34024901678334
66	CNN-CBLV (trained on large trees)		1.2390968999999998	6.93701894666106
66	FFNN-SS		1.9129808999999998	9.578767126022269
66	real	0.935733845155565	1.4661616132397401	8.08773614158272
67	CNN-CBLV		1.3779879	3.6725783253205497
67	FFNN-SS		1.3387504	3.6607476354392796
67	real-subtrees	0.897517230228145	1.35753425064503	3.61512759298127
67	real	0.897517230228145	1.35753425064503	3.61512759298127
67	FFNN-SS (trained on large trees)		1.3175709	3.65567928142833
67	CNN-CBLV (trained on large trees)		1.3274224	3.6188358079301697
68	FFNN-SS		2.4703627	7.61963475374261
68	real-subtrees	0.8144962940370609	2.8118387662689197	8.534735921465321
68	FFNN-SS (trained on large trees)		2.4190058999999997	7.454202038026919
68	CNN-CBLV		2.3310343999999996	7.37723102269225
68	CNN-CBLV (trained on large trees)		1.7098265	6.10226490505308
68	real	0.8144962940370609	2.8118387662689197	8.534735921465321
69	real	0.71726889282682	1.5311384872081	3.46864705840467
69	FFNN-SS		1.4296955	3.55062720066346
69	real-subtrees	0.71726889282682	1.5311384872081	3.46864705840467
69	FFNN-SS (trained on large trees)		1.3234108999999998	3.3999321393951
69	CNN-CBLV		1.3801546	3.5185983527179903
69	CNN-CBLV (trained on large trees)		1.0808053	2.52968989168226
70	CNN-CBLV (trained on large trees)		2.6361578	6.4889931329688
70	real	0.621654402342366	2.8838237559724504	6.80258029742113
70	FFNN-SS		2.6747827999999996	6.64367662976622
70	real-subtrees	0.621654402342366	2.8838237559724504	6.80258029742113
70	FFNN-SS (trained on large trees)		2.6597743	6.6132550177872895
70	CNN-CBLV		2.505947	6.28873483296129
71	real	0.8281859224468691	4.56516325684894	6.598041641287559
71	FFNN-SS (trained on large trees)		3.9902792000000002	5.75546938513932
71	FFNN-SS		3.8801410000000005	5.6604409933182005
71	real-subtrees	0.8281859224468691	4.56516325684894	6.598041641287559
71	CNN-CBLV (trained on large trees)		3.7257488	5.490518116108509
71	CNN-CBLV		3.849829	5.77994128811952
72	FFNN-SS (trained on large trees)		1.1763555	5.5254093412851795
72	real	0.407702877777661	1.11351959720779	5.57678414995152
72	real-subtrees	0.407702877777661	1.11351959720779	5.57678414995152
72	FFNN-SS		1.1856399	5.604854901168999
72	CNN-CBLV		1.211168	5.68886299784384
72	CNN-CBLV (trained on large trees)		1.0916523999999999	5.20665152302829
73	FFNN-SS		3.0731344	5.80124998457023
73	real	0.408349536496099	3.9154761332754395	7.404731250957281
73	real-subtrees	0.408349536496099	3.9154761332754395	7.404731250957281
73	CNN-CBLV (trained on large trees)		3.0152297000000003	5.731463502071639
73	CNN-CBLV		3.2080162	6.034178674037469
73	FFNN-SS (trained on large trees)		2.8327947	5.42878597315294
74	FFNN-SS		1.6927313999999998	8.77265856675712
74	real-subtrees	0.551964191824699	1.77252680419475	8.84983598935926
74	FFNN-SS (trained on large trees)		1.7190657999999999	8.84644884631958
74	real	0.551964191824699	1.77252680419475	8.84983598935926
74	CNN-CBLV		1.6570029	8.36865559531683
74	CNN-CBLV (trained on large trees)		1.5878756	8.28180184492456
75	CNN-CBLV (trained on large trees)		2.0110075000000003	5.36822164155323
75	real-subtrees	0.71278312209739	2.6115774214729397	6.38161966288673
75	CNN-CBLV		2.1198533	5.623945663499169
75	real	0.71278312209739	2.6115774214729397	6.38161966288673
75	FFNN-SS		2.0010521	5.40865942246341
75	FFNN-SS (trained on large trees)		2.0691441999999998	5.477266212860579
76	CNN-CBLV (trained on large trees)		4.205453400000001	6.92204833462203
76	real-subtrees	0.430017718212823	4.15005110106652	7.05518518255688
76	real	0.430017718212823	4.15005110106652	7.05518518255688
76	FFNN-SS (trained on large trees)		3.9264360000000003	7.6234650503594805
76	FFNN-SS		4.3950086	7.9753526790698
76	CNN-CBLV		4.2837234	7.7889799040489995
77	FFNN-SS (trained on large trees)		2.5978632	6.31419415542874
77	FFNN-SS		2.7921683999999996	6.63032788493415
77	real-subtrees	0.35635665890249796	2.434309025003	5.89769536473822
